,Dataset,Model,Uncalibrated,TS,ETS,MIR,BTS,PTS,LTS,HTS,HnLTS,LTS_torch,HTS_torch,HnLTS_torch
0,cifar10,densenet-121,0.07635898225722762,0.07288759537955071,0.07243996080603297,0.07238651036120934,0.07223202798944231,0.07232256226148209,0.07254248315235057,0.07267247030518541,0.07254676977542204,0.07261392928700874,0.07244016582770312,0.07248196389011725
1,cifar100,densenet-121,0.3170578167184318,0.3047732728199512,0.30435443889425023,0.3049871357458425,0.30524823800245066,0.30464696708326366,0.30389833967938196,0.3031621777071848,0.30491129672009587,0.30900614105066193,0.30318403722920595,0.30481213846682087
2,cars,densenet-121,0.1734503894135218,0.16460330607138493,0.16500671155564162,0.1664266370591719,0.16640771657007747,0.21877902970447452,0.17714417100535662,0.16798235650564713,0.16413242453588223,0.16862825265746573,0.1764890286609945,0.16926193217439123
3,birds,densenet-121,0.35279837419239496,0.32305627208473264,0.323294474886304,0.3270715030830652,0.329046303227661,0.4095375403412664,0.35586423981134935,0.3299219458780554,0.32302671635228886,0.3346330507547009,0.35967027654184036,0.33186333766749815
4,svhn,densenet-121,0.05497933441032865,0.05240589480171399,0.05260752655588384,0.052341821697923216,0.0520839131488322,0.05256682125924635,0.0524308138303565,0.05248127462396328,0.05212709729973976,0.05210711258606285,0.052117972748315575,0.05207112485278004
5,cifar10,densenet-169,0.07537461773458676,0.07172316212839985,0.07120989255937037,0.07143736559179596,0.0710641868141184,0.07105132086773103,0.07138703833470768,0.07139154658660282,0.07112677665867455,0.0712391710478807,0.07093987314530785,0.07101107987562305
6,cifar100,densenet-169,0.31419602737712343,0.30167017872756235,0.30103717176686823,0.30186284821697074,0.30196170061021543,0.29912988073332747,0.29987322574503594,0.29926745185858367,0.3016118447022601,0.3051210000168461,0.29929345648198435,0.3014227596309506
7,cars,densenet-169,0.17254307609768965,0.16342061335907065,0.16291236243991963,0.16560233301323557,0.167406740821604,0.19702369805124575,0.178779748544847,0.17065099956938823,0.16292156134212213,0.16786938265394136,0.17912023447719624,0.17144076649007972
8,birds,densenet-169,0.34703786412631715,0.31423512410006793,0.31454124320762866,0.3188766064726578,0.3244522758118694,0.3567796830109296,0.35050184031116055,0.3209994736399383,0.31414388585365527,0.32605678833930046,0.35842916240673817,0.32325673383425596
9,svhn,densenet-169,0.05154222914131605,0.052032805193713776,0.05212706881399104,0.05231985905181067,0.052087665648929214,0.05233327498669432,0.05199799553312006,0.052117987781360293,0.051816338565398704,0.05168653907668606,0.05191069761151799,0.0517845713584885
