,Dataset,Model,Uncalibrated,TS,ETS,MIR,BTS,PTS,PTS_ece,LTS,HTS,HnLTS,LTS_torch,HTS_torch,HnLTS_torch
0,cifar10,densenet-121,0.07635898221698167,0.07288759537955071,0.07243996080603297,0.07238655957463473,0.07223202801942488,0.07189233958412865,0.08186671670107805,0.07258762466206756,0.07265562175732203,0.07254676957890765,0.0725706215420741,0.07244016581746804,0.07245053124288046
1,cifar100,densenet-121,0.31705781655393084,0.3047732728199512,0.3043535531130982,0.3050187459318264,0.30524823800245066,0.3021785872040286,0.3006258366752489,0.3038983386842101,0.30362952813783206,0.3049113054461733,0.3054493124929163,0.30318404500758434,0.3040175438060097
2,cifar10,densenet-169,0.07537461773993573,0.07172316212839985,0.07120989255937037,0.07143715915468064,0.0710641868141184,0.07069951928601316,0.0796988567816768,0.07143950522690136,0.07137194720119479,0.07112677641163007,0.07116985530900916,0.07093987462384588,0.07095992938907601
3,cifar100,densenet-169,0.31419602739159064,0.30167017872756235,0.3010387090117294,0.30186874087852905,0.30196170061021543,0.3017811926636437,0.2968117862598015,0.29987322640125946,0.299582592093843,0.3016119642657014,0.30212351825308215,0.29929346641826443,0.29988110899668724
4,cifar10,lenet-5,0.3364315834618114,0.33647110226371546,0.33643842281263303,0.3368592346493937,0.33769397317002076,0.33651365426106106,0.3362868249663264,0.3369180781237737,0.33709749631948643,0.33642588906690174,0.3363576288141265,0.33691860636366616,0.33710466563605973
5,cifar100,lenet-5,0.7263632667091078,0.726374164520327,0.7260902588823354,0.7271769431424137,0.7272410735897176,0.726753185373202,0.7342596119538309,0.7271081564088944,0.7272675593499538,0.7264393366084025,0.7262400033313754,0.7271756897087484,0.7264030968246665
6,cifar10,resnet-50,0.23919372134386693,0.20365879716489294,0.20288322841545348,0.2022643806043826,0.2035741442012408,0.20229263068768136,0.20342196192958073,0.20190347033105704,0.2019863704284183,0.20236953229413232,0.2026194559009049,0.20108259845094115,0.20131515827707214
7,cifar10,resnet-101,0.11016876916768197,0.10109647530544269,0.10102679267814074,0.1017054761917284,0.10190187527167341,0.10068901736214075,0.11490753242801229,0.10031899733937863,0.10040180867413989,0.10107437618614985,0.10108598143011784,0.100290519048275,0.10034094973091119
8,cifar100,resnet-101,0.40532736395100366,0.3817227874902473,0.3816203010459229,0.38429227083729084,0.382469640517498,0.3809540340663077,0.3879297577890894,0.382163052388195,0.3813806009654144,0.38169797261672783,0.381996154925249,0.38206777814515697,0.38114585705485
9,cifar10,resnext-29_8x16,0.08281578250506097,0.07830719559614181,0.07823329943952193,0.0784872810057064,0.07908617025791834,0.07800755456278048,0.0895605391698966,0.0782273235222516,0.0783201016299913,0.07830270489804886,0.07837157938407435,0.07822300569988558,0.07833874402082304
10,cifar100,resnext-29_8x16,0.32748385744402403,0.3095584887632775,0.30930761477503854,0.31164912018871493,0.3096463255503058,0.30680972206217516,0.3189282123723404,0.30943338074501725,0.3097909451902746,0.3090008508072495,0.3092579235463566,0.3088494843652502,0.31004869984336214
11,cifar10,vgg-19,0.11009447921553883,0.10185891387052602,0.1006860158484957,0.09982247886692601,0.10033536603385773,0.09956390760089023,0.1145405779660034,0.10105889269255768,0.10109124825217462,0.1004062136932661,0.10052620412536137,0.09987303190279503,0.10002436863957437
12,cifar100,vgg-19,0.44328269831095024,0.391810838805377,0.3910213322830077,0.3889878683322426,0.3880223019522952,0.385162008177744,0.4841078188821271,0.3863425783365593,0.3886751200553383,0.38950139784036664,0.3904963863466588,0.38646275454270057,0.3888219881567594
13,cifar10,wide-resnet-28x10,0.06288677832951434,0.060798190530372685,0.060940793007429626,0.06113755166103967,0.061111383379644835,0.060560892345776655,0.06088359727745607,0.06100337016391679,0.060576240468587915,0.06069489765933422,0.060712386290513676,0.06097385972353738,0.060560481982387546
14,cifar100,wide-resnet-28x10,0.2892247817437721,0.2886094301266442,0.28786514147024084,0.28542946733674274,0.28713178204209755,0.2829361111462763,0.2865844055903726,0.28566949381796997,0.28508656450247294,0.28718526566323743,0.2875407266311886,0.28432344125553954,0.2840531452223816
15,cifar10,wide-resnet-40x10,0.08195803436831726,0.07677665168618453,0.0764491702137942,0.07685423283434852,0.07703630635584943,0.0764135266911953,0.08511526350095604,0.07669775538436316,0.0767214617206282,0.07661804363827646,0.07671271245939465,0.07659513472709177,0.0766670388471954
16,cifar100,wide-resnet-40x10,0.37002317571232585,0.3276327935518578,0.3269829960261477,0.3301346864806736,0.32931431079902673,0.32463409135980126,0.3216675054664313,0.32454660794404633,0.3240312334481656,0.3285896233923969,0.3295010673758856,0.3242428688605538,0.3244676021026884
