,Dataset,Model,Uncalibrated,TS,ETS,MIR,BTS,PTS,LTS,HTS,HnLTS,LTS_torch,HTS_torch,HnLTS_torch
0,cifar10,densenet-121,2.835129755735397,1.3863254146442503,2.2572739182047736,1.4253733977675442,1.0918412791297976,1.3242390611767754,1.438661374230978,1.2708646354079232,1.3498322595655943,1.4850139433145564,1.3768550821713192,1.5039800636470295
1,cifar100,densenet-121,8.760250256806614,3.9336296875805066,3.0396549873887557,4.728580223768952,2.7685609437643994,4.380885218866169,4.1979997920702194,4.135675033479929,3.313877576291561,4.965669606626033,3.480141429633332,3.5645237540081163
2,cars,densenet-121,5.865745552716098,2.342570650606772,1.9129410860913025,2.7038242677102624,2.1610266835313343,10.371914962476616,4.3813593157527055,3.063674312396735,1.5429264089177457,3.3188474327056254,4.12635447612329,2.712536685302291
3,birds,densenet-121,12.42989044787316,2.940007595669168,3.1450506760162185,4.141056439508862,3.5613889400987198,16.208560631314878,7.703472790655813,4.438554601477031,3.1005233325125814,7.171503631872459,9.106188360357534,4.992705020967597
4,svhn,densenet-121,2.0587997228255204,1.4458658700602889,2.573993811163744,0.838403376569189,0.7241174245282411,0.983321654525048,1.5699620373830219,1.5371875341732049,0.9445578869622275,1.0322822112482464,0.9796010789922556,1.0316186531297464
5,cifar10,densenet-169,2.7910768085718143,1.6504725828456395,2.309780203995174,1.3551567873358725,1.266717342555019,1.0511561903357545,1.2910279964327351,1.2974237167835225,1.2128819403052307,1.1346280151605577,1.0344051813920867,1.1280370044708217
6,cifar100,densenet-169,8.93241097673774,3.9487736208433737,2.897082669301574,4.997186399102209,3.187846696442547,3.8244871456176064,4.229602946474197,4.178940769806503,3.3141264083981525,4.999064410328865,3.7468981404849258,4.015447283536197
7,cars,densenet-169,5.821672616634614,2.380512001101071,1.9516870252777503,2.389794446085652,2.5685520753961804,7.804429242863721,4.633773879927829,3.4706707905976115,1.7543171411614509,3.592183507208249,4.67391861707852,3.356788016315394
8,birds,densenet-169,12.649694440296852,3.0897188476287343,3.0986165496473,4.461036034294922,4.5489977645706166,10.978033982175145,8.913095395871146,4.372992669830233,2.5295713271752716,6.653252472670429,11.193649854764248,4.724033414250388
9,svhn,densenet-169,0.4910875781546303,1.0371236454227974,1.156383027351899,1.0176809690663744,0.9330919829749849,0.9498727161576915,0.9542541022720354,1.0747988474771148,0.970604184891318,0.864346061341494,0.9965850689079937,0.8853202887204598
10,cars,resnet-18,7.038801586014365,1.8742095864400958,2.357757036663074,2.9565596871863353,2.80782606635373,8.553016720937869,4.661463219271942,2.6737139402075294,1.7844778619604929,4.307771334080021,4.77840063578933,3.25949915614769
11,cars,resnet-50,5.190265039250053,2.481779163260133,1.5068354817812692,2.076162157840309,2.6104098313910997,6.400994971318576,4.791060493180491,2.808392777257287,1.7578556876377802,2.620322825906307,5.127691218597632,2.7525363365319016
12,cifar10,resnet-101,4.450539160668853,1.3735229279002783,1.4910496834384193,1.917205110937353,1.7186412908385,1.5933183357119538,1.3369747867688995,1.4660461744666085,1.696917482465503,1.6493669942021334,1.598841223546445,1.5725447830557835
13,cifar100,resnet-101,11.446498582065107,2.2467978270384523,2.2437379790655703,3.895613932311536,2.224122504311933,2.519535383954644,2.375904765666224,2.3122183319926264,2.2686306417733433,4.863568919152023,2.252193150654549,2.6354070734232673
14,cars,resnet-101,5.400408598334164,2.3127538905871385,1.7863101142888453,1.963643954147574,2.1337359533671205,8.12536429646297,3.98333159985359,2.3194049888585613,1.5825464398947962,2.9402013978976194,4.588583972088546,2.581531723541291
15,birds,resnet-101,12.64252406348339,2.8374630974943336,3.2528573014579334,5.1789146177811265,3.8647559316389164,8.79884357355344,8.876726393694542,4.240979571633357,2.759474972777902,7.085772152239206,9.985655654185772,4.440709462646404
16,cifar10,resnext-29_8x16,2.8838269811868713,1.0260168415854687,0.8521157645233233,1.0767542019486407,1.1855817532447304,1.145192447900772,1.079328003260829,1.1952043209969958,0.9271864962577864,1.0699852789938422,1.183238778229657,1.1684939667582537
17,cifar100,resnext-29_8x16,9.692425357401374,3.1395080674217786,2.6756449222955148,4.2000963266938935,2.061076638548989,3.4756354294717324,3.25135489551154,3.692094181962313,2.02138607919216,3.7621032264828678,2.738367964679117,2.9237028992921115
18,cifar10,vgg-19,4.605082490444181,2.514875468515014,3.30409227731863,1.6306303672492521,1.3757325350869343,1.7871311233937721,2.102290030882812,2.1024059654772307,1.651570752561094,1.7488879239559132,1.735881861046744,1.645089716017243
19,cifar100,vgg-19,17.6313175778091,5.133481378199226,5.364391973639775,4.14680841371417,3.8856716532040974,3.562247143834829,3.728081769448307,3.5792100065946584,3.6214208278059963,7.214643969237805,3.65082980995446,3.5236845064163207
20,cifar10,wide-resnet-28x10,1.9297270065546053,0.6972622650225304,1.59320788954144,1.2682242120802374,1.07190263017714,1.0785944181680656,0.7919091579241591,0.8399298141896719,0.7274135604500771,0.747242184430362,0.841236479162557,0.887967136800292
21,cifar100,wide-resnet-28x10,5.187933319956066,4.629842047888909,3.5469587807666714,3.9195354168117036,3.105282796297442,4.36661588333547,4.603868865842272,4.342498907074335,3.5748500997573145,3.998251326084138,3.8679619163377796,3.682263596281409
22,svhn,wide-resnet-28x10,1.5536183187968187,1.0831060471893452,1.58971359098026,0.9140091375221717,1.0953034716030583,1.0992326351831725,0.9387921344156378,1.049169824363062,1.0900270363823086,1.061531508967655,1.0399904764481247,0.9180644320435095
23,cifar10,wide-resnet-40x10,3.115249860882756,1.0417783124402173,1.1370427039723736,1.237284738570455,1.2756049826992086,1.4749184608459462,1.0699089462741747,1.2552126312255871,1.1147121801972386,1.1332188279926747,1.0763453756011723,1.2252462024986779
24,cifar100,wide-resnet-40x10,14.784526066780087,4.201722636574429,2.739723537643575,5.344059092327953,3.5506410295348796,4.41822865009308,4.425744529633828,4.793971379622819,3.7307152887433777,5.772907267659902,4.0045880267707865,4.178481049239635
25,svhn,wide-resnet-40x10,1.330811563208383,1.276230289725596,2.535067014491273,0.8443671847065636,0.8801294347751266,1.1318393353860519,1.272668212033349,1.3570639287071786,1.0834642479879675,1.1438666323695612,1.017070546744688,0.9653837302700842
