,Dataset,Model,Uncalibrated,TS,ETS,MIR,BTS,PTS,PTS_ece,LTS,HTS,HnLTS,LTS_torch,HTS_torch,HnLTS_torch
0,cifar10,densenet-121,2.835129752755165,1.3863254146442503,2.2572739182047736,1.4264996521174913,1.0918412631505752,1.1096049706637887,3.6746647703647626,1.4228109211163549,1.3178553368151178,1.3498322764039066,1.415274203419688,1.376855073678901,1.280236994326116
1,cifar100,densenet-121,8.760250038057569,3.9336296875805066,3.0388089618541,4.739083716943859,2.7685609437643994,3.0019517354667196,2.370238804966212,4.197999668605996,3.968219786509869,3.3138681212067596,3.357960153371097,3.4801356562668264,3.368881969973446
2,cifar10,densenet-169,2.7910768374800674,1.6504725828456395,2.309780203995174,1.3284927614033208,1.266717342555019,0.9330926209688198,3.5015405073761983,1.244199847226629,1.2934871625900246,1.2128819176554657,1.1211117282509824,1.034405396159355,1.0202619510889088
3,cifar100,densenet-169,8.932410978674891,3.9487736208433737,2.862171387787601,5.007341724783183,3.187846696442547,4.19790049172938,1.7582631086558098,4.229603333562936,4.0443270140886325,3.3141851231455814,3.562379367426036,3.7469149936079353,3.8374796176701786
4,cifar10,lenet-5,2.0924279309809224,2.120850021207963,2.004819719363383,1.8075416636466988,2.21837090427657,1.9640000292658804,1.9411996363103374,2.2713713836015677,2.139523945152761,1.9985941661894324,1.8428741519153122,1.9051888766888176,2.11273110985756
5,cifar100,lenet-5,2.4186043289303782,2.618121634627098,1.8597809629314843,2.230616455003619,2.809437856891778,2.5955065685883167,2.799682700112462,2.367352340325792,2.6658025585114955,2.5021004297584297,2.212942504286766,2.70798984021259,2.305597403869033
6,cifar10,resnet-50,10.709517962634564,2.5447187340311967,2.8370705947007915,1.3393305069208166,1.8643837513147459,1.730255018174651,1.4338648985326303,2.524410309423316,2.4073288697004323,1.4548467947542667,1.4366432537138465,1.583076072478937,2.102506012022496
7,cifar10,resnet-101,4.450539161562923,1.3735229279002783,1.4910496834384193,1.981818038374183,1.7186412908385,1.3606788140535326,5.090796629786493,1.3369747703496775,1.4191188926994776,1.6969174237549276,1.5899985390901539,1.5988548316485336,1.4118993510305897
8,cifar100,resnet-101,11.446498689353469,2.2467978270384523,2.276493742075851,3.9807504122704276,2.224122495770968,2.178352001905441,6.4241779528558265,2.3759048131275544,2.6455924563109856,2.268561504036188,2.397077303901315,2.2521770674559267,2.065180857107043
9,cifar10,resnext-29_8x16,2.8838269725441976,1.0260168415854687,0.8521157645233233,1.0936229071021075,1.1855817532447304,1.0468381451070292,3.924159058332441,1.0793280032614472,1.1289068888127785,0.9271859285235449,1.0450220116972897,1.18323878898066,1.1679368975758528
10,cifar100,resnext-29_8x16,9.692425297647718,3.1395080674217786,2.888092475727347,4.30193570949137,2.06107668782598,1.959017030596733,7.467890932932499,3.2513548955116436,3.4215299612283694,2.021385785490273,2.325942570418118,2.7307774201615396,2.6926912946999075
11,cifar10,vgg-19,4.605082507729528,2.514875468515014,3.30409227731863,1.6368279738724216,1.3757325350869343,1.4153544941544527,5.144908140003681,2.098016213485981,2.1352208694815653,1.6515698477625864,1.6106175538897527,1.7358818554518631,1.6377878580987442
12,cifar100,vgg-19,17.63131756380201,5.133481378199226,5.364391973639775,4.1301474095880994,3.8856716600253876,4.123697684705257,22.235826285630463,3.8054034231994147,3.25420374251902,3.6214205820858476,4.260726335942746,3.560865743598117,3.984452411942183
13,cifar10,wide-resnet-28x10,1.9297270444035546,0.6972622650225304,1.59320788954144,1.2506296357512476,1.07190263017714,0.988401067256931,1.0099446116387822,0.7919091225628412,0.9012063372135181,0.7258102619647979,0.8990730309486432,0.8412364396252515,0.8445372895896447
14,cifar100,wide-resnet-28x10,5.187933269925417,4.629842047888909,3.5673136517348008,3.934989569634201,3.105282796297442,3.341312954723836,4.641703669950369,4.603868938080245,4.353441367484629,3.5748507092148074,3.720711900740862,3.867963350612951,3.640232526324689
15,cifar10,wide-resnet-40x10,3.115249840617177,1.0417783124402173,1.1370427039723736,1.2457299365103252,1.2756049826992086,0.9888019236922228,3.5671989640593535,1.0864286308246158,1.187744734585289,1.1252004446089265,1.120053903907535,1.0770817782175277,1.2245108686387516
16,cifar100,wide-resnet-40x10,14.784526230096814,4.201722636574429,2.730387101454572,5.597175234258176,3.5506409974056616,3.776584012955428,2.2693947422504426,4.454542579494909,4.411090103536844,3.7308151359856137,4.0673524410277615,4.004597724336437,4.009537345990539
