,Dataset,Model,Uncalibrated,TS,ETS,MIR,BTS,PTS,LTS,HTS,HnLTS,LTS_torch,HTS_torch,HnLTS_torch
0,cifar10,densenet-121,0.18812885880470276,0.1618115217792394,0.1673187105444412,0.16232724487781525,0.19305541240263255,0.1611182689666748,0.15989958213464175,0.16074497997760773,0.1613256186246872,0.16097120940685272,0.16066881245005193,0.16033725440502167
1,cifar100,densenet-121,0.8938684463500977,0.8354869764400484,0.8591963945519688,0.8378438353538513,0.8270852248999867,0.838473916053772,0.8358830308405785,0.8293487429618835,0.8253782987594604,0.832834005355835,0.8190093504260599,0.8256823420524597
2,cars,densenet-121,0.5337421298027039,0.41725914748876575,0.44318769554316784,0.4262034595012665,0.5041268885153496,inf,0.5974242617244132,0.45685094594955444,0.412039190530777,0.4401100277900696,0.5751678822562438,0.46291038393974304
3,birds,densenet-121,1.1968873739242554,0.900072392049698,0.9018223047278765,0.914020836353302,1.1593458064800706,inf,1.775098813371203,0.9878289103507996,0.8973764181137085,0.9753146767616272,inf,1.0307713747024536
4,svhn,densenet-121,0.1599016636610031,0.14141209891607526,0.15115742408979738,0.13848650455474854,0.1683455857315461,0.1406271755695343,0.14163595335910448,0.14151394367218018,0.14009414613246918,0.13974790275096893,0.13996136543148582,0.13954609632492065
5,cifar10,densenet-169,0.18701939284801483,0.16077424985868047,0.16855553830869663,0.16059446334838867,0.2361060880530423,0.15922226011753082,0.15971243903743818,0.15936818718910217,0.15916979312896729,0.158986896276474,0.15866001391253176,0.1583123803138733
6,cifar100,densenet-169,0.8748162388801575,0.8155700678088795,0.8323311272262501,0.8166770339012146,0.8081593557522269,0.8134140372276306,0.815818097930694,0.8106379508972168,0.8062325716018677,0.8120037913322449,0.801315347096857,0.8072641491889954
7,cars,densenet-169,0.5348135828971863,0.41661898732680464,0.4347370711681886,0.4298875033855438,0.5101336406194878,inf,0.8182432839065389,0.5128016471862793,0.41075655817985535,0.440125048160553,0.8502836021002306,0.5156258344650269
8,birds,densenet-169,1.1840591430664062,0.8671647310705939,0.8679149283082458,0.8856866359710693,1.2691119264613049,inf,inf,0.9489023089408875,0.8637775778770447,0.9305301308631897,inf,0.9873839616775513
9,svhn,densenet-169,0.1275331676006317,0.12926037607388866,0.12977706684593876,0.12935781478881836,0.15218806369582813,0.13054227828979492,0.12887239560638344,0.12946714460849762,0.12856239080429077,0.12804096937179565,0.1286833182301201,0.12820403277873993
10,cars,resnet-18,0.6357849836349487,0.49207410308042926,0.5099297514288409,0.5079676508903503,0.6641146594610813,inf,0.7286125835140761,0.5375024080276489,0.49010103940963745,0.5356767177581787,0.7470131639723114,0.5473312735557556
11,cars,resnet-50,0.4933537244796753,0.3909551514311543,0.3961509187650302,0.4022068381309509,0.6079573805216822,inf,0.8067898877437212,0.4250454902648926,0.3846065104007721,0.4087246358394623,1.0673921064354202,0.43227967619895935
12,cifar10,resnet-101,0.30468982458114624,0.21633229835655374,0.21990162531417665,0.21855725347995758,0.25680093316272135,0.22017687559127808,0.2132278068938248,0.21335351467132568,0.21799466013908386,0.2170368880033493,0.2152626000710789,0.21400420367717743
13,cifar100,resnet-101,1.1343097686767578,1.0006765826876558,1.009053136948736,1.0104596614837646,1.0039596015029977,1.0009433031082153,1.0077794194103757,1.0012047290802002,1.0001884698867798,1.0150562524795532,1.0066629055090448,1.0030739307403564
14,cars,resnet-101,0.49331024289131165,0.384693730671211,0.3954627141065083,0.3925904929637909,0.470655828735947,inf,0.5997366675345123,0.41114962100982666,0.3788619339466095,0.40492141246795654,0.6456651018004829,0.41665011644363403
15,birds,resnet-101,1.1694282293319702,0.8376910308092554,0.839360889415342,0.8546276092529297,1.1088643378517717,inf,inf,0.8832484483718872,0.8327007293701172,0.9112107157707214,inf,0.9059422016143799
16,cifar10,resnext-29_8x16,0.19995158910751343,0.1620957971016947,0.16169148621892476,0.16763558983802795,0.20413395138146195,0.17133685946464539,0.16277102171861915,0.16402550041675568,0.1621585339307785,0.1622978001832962,0.16318711425839305,0.16361717879772186
17,cifar100,resnext-29_8x16,0.9398442506790161,0.8220381954071446,0.8398446516101543,0.8332048654556274,0.818997051670101,0.8240538835525513,0.8252075321410095,0.8258658051490784,0.8128458857536316,0.8199796080589294,0.8152910418478938,0.8217926025390625
18,cifar10,vgg-19,0.29975444078445435,0.2355205487256115,0.24242167429472825,0.2255144566297531,0.2902457906774087,0.23332439363002777,0.23128659797353898,0.2315431833267212,0.23346112668514252,0.23292037844657898,0.23033125953497696,0.2298399955034256
19,cifar100,vgg-19,1.5414209365844727,1.1996589227728203,1.2068970458260595,1.1864906549453735,1.1925535807244512,1.1866657733917236,1.1793731168066734,1.1845935583114624,1.1941137313842773,1.218717336654663,1.1758128228559124,1.195984125137329
20,cifar10,wide-resnet-28x10,0.14967145025730133,0.13618167717632151,0.1424089603767162,0.14254523813724518,0.21035607062441808,0.1385331004858017,0.1350623787552094,0.13508035242557526,0.1366492360830307,0.13620561361312866,0.13560775101073197,0.13536149263381958
21,cifar100,wide-resnet-28x10,0.8173383474349976,0.8134594767983087,0.8308349894086525,0.7996221780776978,0.7876174220895243,0.7976326942443848,0.8032247540611664,0.8031087517738342,0.7870755791664124,0.7873684763908386,0.7784740321593862,0.778510570526123
22,svhn,wide-resnet-28x10,0.1416776180267334,0.1342694603305341,0.1375704178258264,0.13316091895103455,0.14515125458827882,0.13295096158981323,0.13249097712713565,0.13292796909809113,0.1340651959180832,0.13369683921337128,0.13305833773779646,0.1326424777507782
23,cifar10,wide-resnet-40x10,0.206792414188385,0.16339182500642374,0.1642361574870627,0.1652781069278717,0.18396770967336498,0.188751220703125,0.1630673265853581,0.16342301666736603,0.16333653032779694,0.16350911557674408,0.16263186586421094,0.1633644849061966
24,cifar100,wide-resnet-40x10,1.2247732877731323,0.9054644824910054,0.9262629052512277,0.9254281520843506,0.903723719652744,0.8996608257293701,0.8976873778605646,0.9004865288734436,0.8992589712142944,0.913559079170227,0.883636170031266,0.8932633996009827
25,svhn,wide-resnet-40x10,0.12807711958885193,0.12688544254277084,0.13708774345686847,0.12445604056119919,0.13651195808476366,0.12653622031211853,0.12576427006471277,0.1259186565876007,0.1270439773797989,0.12650303542613983,0.1257573345824754,0.12517142295837402
