,Dataset,Model,Uncalibrated,TS,ETS,MIR,BTS,PTS,PTS_ece,LTS,HTS,HnLTS,LTS_torch,HTS_torch,HnLTS_torch
0,cifar10,densenet-121,0.18812885880470276,0.1618115217792394,0.1673187105444412,0.16819071769714355,0.19305541255695474,0.1577688306570053,0.30523964762687683,0.1601978118531689,0.16065417230129242,0.1613256186246872,0.16105933487415314,0.16066881241512543,0.16041196882724762
1,cifar100,densenet-121,0.8938684463500977,0.8354869764400484,0.8591711921188704,0.8470194339752197,0.8270852248999867,0.8164398670196533,0.8212230205535889,0.835883029988633,0.8328468799591064,0.8253782987594604,0.8256017565727234,0.8190092660948909,0.8208531141281128
2,cifar10,densenet-169,0.18701939284801483,0.16077424985868047,0.16855553830869663,0.16401465237140656,0.2361060880530423,0.15514019131660461,0.2868990898132324,0.15967732040523638,0.1593116670846939,0.15916979312896729,0.15899327397346497,0.15866001493793203,0.15839846432209015
3,cifar100,densenet-169,0.8748162388801575,0.8155700678088795,0.8327933137165748,0.8189563155174255,0.8081593557522269,0.8154801726341248,0.8027002811431885,0.8158180952575249,0.8130540251731873,0.8062324523925781,0.8063049912452698,0.8013152699346867,0.8019468784332275
4,cifar10,lenet-5,0.7085850238800049,0.707208681200494,0.7071258138384211,0.7101848721504211,0.7184035779311434,0.7077594995498657,0.7067886590957642,0.7087411213308991,0.7098041772842407,0.707080066204071,0.7070008516311646,0.708638506504307,0.7099470496177673
5,cifar100,lenet-5,2.2792391777038574,2.276086923882705,2.2750702637159415,2.2880680561065674,2.281121324480418,2.276787281036377,2.3161613941192627,2.2820206937291077,2.2830264568328857,2.2764968872070312,2.2760910987854004,2.282098263878572,2.2779362201690674
6,cifar10,resnet-50,0.7896755337715149,0.44728850744472676,0.4515029853785429,0.44350478053092957,0.44978857405507544,0.44357216358184814,0.44940370321273804,0.4400028983771429,0.43990668654441833,0.4448324739933014,0.4446922838687897,0.43866506455193155,0.4383392035961151
7,cifar10,resnet-101,0.30468982458114624,0.21633229835655374,0.21990162531417665,0.2418142557144165,0.25680093316272135,0.21697045862674713,0.4453587830066681,0.21322780683327383,0.21319691836833954,0.21799466013908386,0.2173779308795929,0.21526256924900372,0.21445195376873016
8,cifar100,resnet-101,1.1343097686767578,1.0006765826876558,1.0089004370010273,1.0099369287490845,1.0039596013509509,1.0001788139343262,1.027077317237854,1.007779418549289,1.0041320323944092,1.0001883506774902,1.0009537935256958,1.0066629737824127,1.0020414590835571
9,cifar10,resnext-29_8x16,0.19995158910751343,0.1620957971016947,0.16169148621892476,0.17349611222743988,0.20413395138146195,0.1623891443014145,0.3050263226032257,0.16277102171860924,0.1634574979543686,0.1621585339307785,0.1621936708688736,0.16318711433792116,0.16344009339809418
10,cifar100,resnext-29_8x16,0.9398442506790161,0.8220381954071446,0.8405125211757167,0.8357744216918945,0.8189970521250666,0.8060857653617859,0.8763664960861206,0.8252075321410092,0.826725959777832,0.8128458261489868,0.8129773139953613,0.8152910559530779,0.8188480734825134
11,cifar10,vgg-19,0.29975444078445435,0.2355205487256115,0.24242167429472825,0.22548921406269073,0.2902457906774087,0.2288433313369751,0.3939892053604126,0.23128616026752874,0.23131635785102844,0.23346112668514252,0.23303157091140747,0.23033125939312213,0.2298998236656189
12,cifar100,vgg-19,1.5414209365844727,1.1996589227728203,1.2068970458260595,1.199250340461731,1.1925535808447851,1.1757946014404297,2.5017690658569336,1.179201373900304,1.1848176717758179,1.1941137313842773,1.1946743726730347,1.1753721918125701,1.1840907335281372
13,cifar10,wide-resnet-28x10,0.14967145025730133,0.13618167717632151,0.1424089603767162,0.14942817389965057,0.21035607062441808,0.13478319346904755,0.1367357224225998,0.13506237908503155,0.13482986390590668,0.13664911687374115,0.13635940849781036,0.13560778611911334,0.1355074644088745
14,cifar100,wide-resnet-28x10,0.8173383474349976,0.8134594767983087,0.8315888610452439,0.7992932796478271,0.7876174220895243,0.7692693471908569,0.7898061871528625,0.803224755702092,0.801593542098999,0.7870755791664124,0.7872799038887024,0.7784740454977619,0.775304913520813
15,cifar10,wide-resnet-40x10,0.206792414188385,0.16339182500642374,0.1642361574870627,0.16503673791885376,0.18396770967336498,0.1603630930185318,0.2591858208179474,0.16253041477045743,0.16320548951625824,0.16333523392677307,0.1633705496788025,0.16334779456044476,0.16330067813396454
16,cifar100,wide-resnet-40x10,1.2247732877731323,0.9054644824910054,0.9261105831912552,0.923305869102478,0.9037237199889879,0.8831456899642944,0.8886694312095642,0.8976894703567148,0.896842896938324,0.8992589712142944,0.9003919959068298,0.8836361752072186,0.8845402598381042
